iter	Passed	Remaining
0	127	127709
1	129	64595
2	131	43548
3	132	33074
4	134	26740
5	135	22498
6	137	19459
7	138	17223
8	141	15534
9	142	14133
10	144	12976
11	146	12034
12	147	11214
13	149	10510
14	150	9896
15	152	9382
16	154	8945
17	155	8509
18	157	8114
19	158	7757
20	159	7451
21	161	7174
22	162	6917
23	164	6691
24	166	6479
25	169	6334
26	170	6144
27	171	5962
28	173	5795
29	174	5643
30	176	5504
31	177	5372
32	178	5240
33	180	5118
34	182	5035
35	184	4931
36	185	4828
37	186	4730
38	188	4640
39	189	4551
40	191	4469
41	192	4388
42	193	4310
43	194	4233
44	197	4190
45	199	4134
46	200	4072
47	202	4014
48	204	3964
49	205	3907
50	207	3853
51	208	3801
52	210	3759
53	212	3720
54	213	3671
55	215	3624
56	216	3578
57	217	3534
58	219	3497
59	220	3459
60	222	3419
61	223	3381
62	225	3355
63	227	3324
64	228	3288
65	229	3253
66	231	3220
67	232	3187
68	234	3158
69	235	3127
70	236	3097
71	238	3069
72	239	3044
73	241	3023
74	242	2994
75	243	2964
76	244	2935
77	246	2907
78	247	2881
79	248	2859
80	249	2836
81	251	2812
82	251	2783
83	253	2761
84	255	2754
85	257	2734
86	258	2715
87	260	2695
88	261	2674
89	263	2663
90	265	2649
91	266	2632
92	268	2617
93	270	2610
94	272	2594
95	273	2578
96	275	2563
97	276	2547
98	278	2532
99	279	2518
100	281	2503
101	282	2489
102	285	2487
103	287	2472
104	288	2458
105	289	2443
106	290	2428
107	292	2414
108	293	2402
109	295	2390
110	297	2379
111	299	2370
112	301	2367
113	303	2355
114	304	2343
115	306	2332
116	307	2319
117	308	2309
118	310	2298
119	311	2286
120	313	2276
121	315	2267
122	316	2256
123	317	2244
124	319	2233
125	320	2222
126	321	2211
127	323	2201
128	324	2192
129	326	2182
130	327	2172
131	329	2167
132	331	2157
133	332	2147
134	333	2137
135	335	2128
136	336	2119
137	337	2111
138	339	2104
139	341	2096
140	342	2088
141	344	2081
142	345	2072
143	347	2063
144	348	2054
145	349	2045
146	350	2036
147	352	2028
148	353	2020
149	355	2012
150	356	2005
151	359	2003
152	360	1996
153	361	1987
154	363	1979
155	364	1971
156	365	1964
157	367	1958
158	369	1954
159	371	1947
160	372	1939
161	375	1941
162	377	1936
163	379	1933
164	381	1929
165	383	1927
166	385	1921
167	386	1915
168	390	1920
169	392	1914
170	393	1908
171	395	1902
172	396	1895
173	398	1890
174	399	1883
175	401	1879
176	403	1875
177	404	1869
178	406	1862
179	407	1856
180	408	1850
181	410	1844
182	411	1838
183	413	1833
184	414	1827
185	417	1824
186	418	1819
187	419	1813
188	421	1807
189	422	1800
190	423	1794
191	424	1788
192	426	1782
193	427	1777
194	429	1771
195	431	1770
196	433	1766
197	434	1760
198	435	1754
199	437	1748
200	438	1742
201	439	1736
202	440	1731
203	442	1725
204	443	1720
205	445	1717
206	447	1714
207	449	1710
208	450	1704
209	451	1699
210	453	1694
211	454	1691
212	456	1686
213	457	1682
214	459	1677
215	461	1675
216	463	1671
217	464	1666
218	466	1662
219	467	1657
220	469	1653
221	470	1648
222	471	1643
223	473	1639
224	474	1634
225	477	1633
226	478	1629
227	480	1625
228	481	1621
229	483	1617
230	484	1613
231	486	1609
232	487	1605
233	489	1601
234	491	1598
235	492	1595
236	494	1591
237	495	1586
238	496	1582
239	498	1577
240	499	1573
241	501	1569
242	502	1565
243	503	1561
244	505	1559
245	507	1555
246	509	1553
247	511	1549
248	512	1545
249	513	1541
250	515	1537
251	516	1533
252	517	1529
253	519	1525
254	521	1523
255	523	1520
256	524	1516
257	525	1512
258	527	1507
259	528	1503
260	529	1499
261	530	1495
262	532	1491
263	533	1487
264	535	1485
265	537	1482
266	538	1479
267	540	1475
268	541	1472
269	542	1467
270	543	1463
271	545	1459
272	546	1454
273	547	1450
274	548	1446
275	549	1442
276	552	1441
277	554	1439
278	555	1436
279	557	1434
280	559	1431
281	560	1427
282	562	1424
283	563	1421
284	565	1419
285	567	1417
286	569	1414
287	570	1411
288	572	1408
289	574	1405
290	575	1402
291	577	1400
292	579	1397
293	581	1396
294	583	1393
295	584	1389
296	585	1386
297	587	1384
298	589	1381
299	590	1378
300	592	1375
301	593	1372
302	595	1370
303	597	1368
304	598	1364
305	600	1361
306	601	1358
307	603	1355
308	605	1353
309	606	1350
310	608	1347
311	609	1344
312	612	1343
313	613	1340
314	615	1337
315	616	1335
316	618	1332
317	619	1329
318	621	1325
319	622	1322
320	623	1319
321	625	1317
322	627	1314
323	628	1311
324	630	1308
325	631	1305
326	632	1302
327	634	1299
328	635	1296
329	637	1294
330	639	1291
331	641	1290
332	642	1287
333	644	1284
334	645	1282
335	647	1279
336	649	1277
337	650	1274
338	652	1271
339	653	1268
340	655	1267
341	657	1264
342	658	1261
343	660	1258
344	661	1255
345	663	1253
346	664	1250
347	665	1247
348	667	1244
349	668	1242
350	671	1241
351	672	1238
352	673	1235
353	675	1232
354	676	1229
355	678	1226
356	679	1224
357	681	1221
358	682	1219
359	684	1216
360	686	1214
361	687	1211
362	688	1208
363	689	1205
364	691	1202
365	692	1200
366	694	1197
367	695	1194
368	697	1192
369	698	1189
370	701	1188
371	703	1187
372	705	1185
373	707	1184
374	709	1182
375	710	1179
376	712	1176
377	713	1174
378	715	1172
379	717	1170
380	718	1168
381	720	1165
382	721	1162
383	723	1160
384	724	1157
385	726	1155
386	727	1152
387	729	1149
388	731	1148
389	732	1146
390	734	1143
391	735	1141
392	737	1138
393	738	1136
394	740	1134
395	742	1131
396	743	1129
397	745	1128
398	747	1126
399	749	1124
400	751	1122
401	753	1121
402	755	1118
403	756	1116
404	757	1113
405	758	1110
406	761	1108
407	762	1106
408	763	1103
409	765	1101
410	766	1098
411	767	1095
412	768	1092
413	770	1090
414	771	1087
415	772	1084
416	773	1081
417	775	1080
418	777	1077
419	778	1074
420	779	1071
421	780	1069
422	782	1066
423	783	1064
424	784	1061
425	785	1058
426	787	1056
427	788	1054
428	790	1052
429	792	1050
430	793	1047
431	794	1045
432	796	1042
433	797	1040
434	799	1037
435	800	1035
436	801	1033
437	803	1030
438	805	1029
439	806	1027
440	808	1024
441	809	1021
442	810	1019
443	812	1017
444	813	1014
445	814	1012
446	816	1009
447	817	1007
448	818	1004
449	820	1003
450	821	1000
451	823	997
452	824	995
453	825	993
454	827	990
455	828	988
456	829	985
457	830	983
458	831	980
459	833	978
460	834	976
461	836	974
462	837	971
463	839	969
464	840	967
465	841	964
466	843	962
467	844	960
468	846	957
469	847	955
470	848	953
471	851	952
472	852	949
473	853	947
474	854	944
475	855	942
476	857	939
477	858	937
478	859	934
479	861	932
480	862	930
481	863	928
482	866	927
483	867	924
484	868	922
485	869	920
486	871	917
487	872	915
488	873	912
489	874	910
490	875	908
491	877	905
492	879	903
493	881	902
494	882	900
495	883	898
496	884	895
497	886	893
498	887	890
499	888	888
500	889	886
501	891	884
502	892	882
503	894	879
504	896	878
505	897	876
506	898	874
507	900	871
508	901	869
509	902	867
510	903	865
511	905	862
512	906	860
513	908	858
514	909	856
515	911	854
516	912	852
517	913	850
518	914	847
519	916	845
520	917	843
521	918	841
522	920	839
523	921	837
524	924	836
525	925	834
526	927	832
527	929	830
528	930	828
529	932	826
530	934	825
531	935	823
532	937	820
533	938	819
534	941	817
535	942	815
536	943	813
537	944	811
538	946	809
539	947	807
540	949	805
541	951	803
542	952	801
543	955	800
544	956	798
545	957	796
546	959	794
547	960	792
548	961	790
549	963	788
550	964	785
551	965	783
552	967	781
553	968	779
554	971	778
555	972	776
556	973	774
557	974	772
558	975	769
559	977	767
560	978	765
561	979	763
562	980	761
563	981	759
564	983	757
565	985	755
566	986	753
567	987	751
568	988	749
569	990	746
570	991	744
571	992	742
572	993	740
573	995	738
574	996	736
575	997	734
576	1000	733
577	1001	731
578	1002	729
579	1003	727
580	1005	725
581	1006	722
582	1007	720
583	1008	718
584	1010	716
585	1011	714
586	1012	712
587	1014	711
588	1016	709
589	1017	707
590	1018	705
591	1020	703
592	1021	701
593	1022	699
594	1023	696
595	1025	694
596	1026	692
597	1027	690
598	1030	689
599	1031	687
600	1033	685
601	1034	683
602	1035	681
603	1036	679
604	1038	677
605	1039	675
606	1040	673
607	1041	671
608	1043	669
609	1045	668
610	1046	666
611	1047	664
612	1049	662
613	1050	660
614	1051	658
615	1053	656
616	1054	654
617	1055	652
618	1057	650
619	1058	648
620	1060	647
621	1061	645
622	1063	643
623	1065	641
624	1066	639
625	1067	638
626	1069	636
627	1070	634
628	1071	632
629	1072	630
630	1074	628
631	1076	626
632	1077	624
633	1078	622
634	1080	620
635	1081	618
636	1082	617
637	1084	615
638	1085	613
639	1086	611
640	1088	609
641	1090	607
642	1091	606
643	1092	604
644	1094	602
645	1095	600
646	1096	598
647	1098	596
648	1099	594
649	1101	592
650	1102	591
651	1105	590
652	1106	588
653	1107	586
654	1109	584
655	1110	582
656	1111	580
657	1112	578
658	1113	576
659	1115	574
660	1116	572
661	1117	570
662	1120	569
663	1121	567
664	1123	565
665	1124	563
666	1125	561
667	1126	560
668	1128	558
669	1129	556
670	1130	554
671	1133	553
672	1134	551
673	1135	549
674	1136	547
675	1138	545
676	1139	543
677	1140	541
678	1141	539
679	1143	537
680	1144	536
681	1146	534
682	1147	532
683	1148	530
684	1150	528
685	1151	526
686	1152	525
687	1153	523
688	1155	521
689	1156	519
690	1157	517
691	1158	515
692	1160	513
693	1162	512
694	1163	510
695	1164	508
696	1166	506
697	1167	505
698	1168	503
699	1169	501
700	1171	499
701	1172	497
702	1173	495
703	1174	493
704	1176	492
705	1177	490
706	1179	488
707	1181	487
708	1182	485
709	1184	483
710	1185	481
711	1186	480
712	1188	478
713	1189	476
714	1191	474
715	1192	473
716	1194	471
717	1195	469
718	1196	467
719	1197	465
720	1199	464
721	1200	462
722	1201	460
723	1203	458
724	1204	456
725	1206	455
726	1207	453
727	1208	451
728	1210	449
729	1211	447
730	1212	446
731	1214	444
732	1215	442
733	1216	440
734	1217	439
735	1219	437
736	1221	435
737	1222	434
738	1224	432
739	1225	430
740	1226	428
741	1227	426
742	1228	425
743	1230	423
744	1231	421
745	1232	419
746	1233	417
747	1235	416
748	1237	414
749	1238	412
750	1239	410
751	1240	409
752	1242	407
753	1243	405
754	1244	403
755	1245	402
756	1247	400
757	1248	398
758	1249	396
759	1251	395
760	1253	393
761	1254	391
762	1255	389
763	1256	388
764	1257	386
765	1259	384
766	1260	382
767	1261	381
768	1262	379
769	1264	377
770	1266	376
771	1268	374
772	1269	372
773	1271	371
774	1273	369
775	1274	367
776	1275	366
777	1276	364
778	1277	362
779	1279	360
780	1280	359
781	1283	357
782	1284	356
783	1286	354
784	1287	352
785	1289	351
786	1291	349
787	1292	347
788	1293	346
789	1295	344
790	1297	342
791	1299	341
792	1300	339
793	1301	337
794	1302	335
795	1304	334
796	1305	332
797	1306	330
798	1308	329
799	1309	327
800	1311	325
801	1312	324
802	1315	322
803	1316	320
804	1317	319
805	1318	317
806	1320	315
807	1321	313
808	1322	312
809	1323	310
810	1324	308
811	1326	307
812	1328	305
813	1330	303
814	1331	302
815	1332	300
816	1333	298
817	1334	297
818	1336	295
819	1337	293
820	1338	291
821	1340	290
822	1342	288
823	1343	287
824	1345	285
825	1346	283
826	1347	281
827	1348	280
828	1350	278
829	1351	276
830	1352	275
831	1354	273
832	1355	271
833	1358	270
834	1359	268
835	1361	267
836	1362	265
837	1363	263
838	1364	261
839	1366	260
840	1367	258
841	1368	256
842	1369	255
843	1371	253
844	1373	251
845	1374	250
846	1375	248
847	1376	246
848	1378	245
849	1379	243
850	1380	241
851	1382	240
852	1383	238
853	1384	236
854	1385	235
855	1387	233
856	1388	231
857	1390	230
858	1391	228
859	1392	226
860	1393	225
861	1395	223
862	1396	221
863	1397	220
864	1399	218
865	1400	216
866	1402	215
867	1403	213
868	1404	211
869	1406	210
870	1407	208
871	1408	206
872	1409	205
873	1411	203
874	1412	201
875	1413	200
876	1414	198
877	1416	196
878	1418	195
879	1419	193
880	1421	191
881	1422	190
882	1423	188
883	1424	186
884	1426	185
885	1427	183
886	1428	181
887	1429	180
888	1431	178
889	1432	177
890	1434	175
891	1435	173
892	1436	172
893	1437	170
894	1439	168
895	1440	167
896	1441	165
897	1442	163
898	1444	162
899	1445	160
900	1447	159
901	1449	157
902	1450	155
903	1451	154
904	1452	152
905	1454	150
906	1455	149
907	1456	147
908	1458	145
909	1459	144
910	1461	142
911	1462	141
912	1464	139
913	1465	137
914	1466	136
915	1467	134
916	1468	132
917	1470	131
918	1471	129
919	1473	128
920	1474	126
921	1475	124
922	1477	123
923	1479	121
924	1480	120
925	1482	118
926	1483	116
927	1485	115
928	1486	113
929	1488	112
930	1489	110
931	1492	108
932	1493	107
933	1495	105
934	1496	104
935	1497	102
936	1498	100
937	1500	99
938	1502	97
939	1503	95
940	1505	94
941	1508	92
942	1510	91
943	1511	89
944	1513	88
945	1514	86
946	1515	84
947	1517	83
948	1518	81
949	1519	79
950	1521	78
951	1523	76
952	1524	75
953	1526	73
954	1527	71
955	1528	70
956	1529	68
957	1531	67
958	1532	65
959	1533	63
960	1535	62
961	1537	60
962	1538	59
963	1539	57
964	1541	55
965	1542	54
966	1543	52
967	1544	51
968	1546	49
969	1547	47
970	1548	46
971	1549	44
972	1551	43
973	1553	41
974	1554	39
975	1555	38
976	1556	36
977	1558	35
978	1559	33
979	1560	31
980	1562	30
981	1563	28
982	1564	27
983	1567	25
984	1568	23
985	1569	22
986	1570	20
987	1572	19
988	1573	17
989	1574	15
990	1576	14
991	1577	12
992	1578	11
993	1580	9
994	1582	7
995	1583	6
996	1584	4
997	1585	3
998	1587	1
999	1588	0
